SampleID	Entamoeba	E_histolytica	E_vermicularis	Ostertagia_ostertagi	Trichuris_trichiura	B_ST1	B_ST2	B_ST3	B_ST8	Blastocystis	V4	V9	Blasto	Genus	Species	Genus_species	Diet	Country	Habitat2	Phyl_Group	BodyMass.Value	Activity_Time	Foraging_Strata.Value	Age_at_FirstBirth_d	GestationLength_d	HomeRange_km2	LitterSize	LittersPerYear	PopulationDensity_n.km2	PopulationGrpSize	SocialGrpSize	WeaningAge_d
RC2096	N	N	N	N	N	N	N	N	N	N	yes	yes	yes	Procolobus	badius	Procolobus_badius	Folivore	Uganda	Rainforest	Old_World	8430.4	Diurnal	arboreal	1489.2	151.41	0.42	1	0.5	130.65	33.6	34	783.93
Ahyb1000	P	N	N	N	N	N	N	N	N	N	no	yes	yes	Ateles	hybridus	Ateles_hybridus	Not	Colombia	Rainforest	New_World	6394.85	Diurnal	arboreal	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ahyb135	P	N	N	N	N	N	N	N	N	N	no	yes	yes	Ateles	hybridus	Ateles_hybridus	Not	Colombia	Rainforest	New_World	6394.85	Diurnal	arboreal	NA	NA	NA	NA	NA	NA	NA	NA	NA
AsenLink2	P	N	N	N	N	N	N	N	N	N	no	yes	yes	Alouatta	seniculus	Alouatta_seniculus	Folivore	Ecuador	Rainforest	New_World	6145.54	Diurnal	arboreal	1671.7	189.9	0.1	1.42	NA	44.49	NA	7.9	370.04
AtbelzLink4	P	N	N	N	N	N	N	N	N	N	yes	yes	yes	Ateles	belzebuth	Ateles_belzebuth	Not	Ecuador	Rainforest	New_World	5000	Diurnal	arboreal	NA	138.2	2.28	1.02	NA	13.49	NA	14.5	NA
BWC2115	P	N	N	N	N	N	N	N	N	N	yes	yes	yes	Colobus	guereza	Colobus_guereza	Folivore	Uganda	Rainforest	Old_World	10600	Diurnal	arboreal	1916.25	169.02	0.17	1	NA	99.2	7	7.6	387.79
Ptr11	P	N	N	N	N	N	N	N	N	N	yes	yes	yes	Pan	troglodytes	Pan_troglodytes	Not	Uganda	Rainforest	Ape	42500	Diurnal	scansorial	5073.5	231.49	10.85	1.05	NA	1.63	45	50	1260.81
PVLou	P	N	N	N	N	N	N	N	N	N	yes	yes	yes	Propithecus	verreauxi	Propithecus_verreauxi	Folivore	Madagascar	Rainforest	Lemur	3480	Diurnal	arboreal	1668.05	149.77	0.03	1.02	1	150	7.5	6.3	177.83
PVPam	P	N	N	N	N	N	N	N	N	N	yes	yes	yes	Propithecus	verreauxi	Propithecus_verreauxi	Folivore	Madagascar	Rainforest	Lemur	3480	Diurnal	arboreal	1668.05	149.77	0.03	1.02	1	150	7.5	6.3	177.83
RC2071	P	N	N	N	N	N	N	N	N	N	yes	yes	yes	Procolobus	badius	Procolobus_badius	Folivore	Uganda	Rainforest	Old_World	8430.4	Diurnal	arboreal	1489.2	151.41	0.42	1	0.5	130.65	33.6	34	783.93
RC2098	P	N	N	N	N	N	N	N	N	N	yes	yes	yes	Procolobus	badius	Procolobus_badius	Folivore	Uganda	Rainforest	Old_World	8430.4	Diurnal	arboreal	1489.2	151.41	0.42	1	0.5	130.65	33.6	34	783.93
RT2017	P	P	P	N	N	N	N	N	N	N	no	yes	yes	Cercopithecus	ascanius	Cercopithecus_ascanius	Not	Uganda	Rainforest	Old_World	3550	Diurnal	arboreal	1825	148.5	0.16	1.01	NA	105.79	34	26.3	146.54
Gor11	N	N	P	N	N	N	N	N	N	N	no	yes	yes	Gorilla	gorilla	Gorilla_gorilla	Folivore	CAR	Rainforest	Ape	131625.52	Diurnal	ground_level	3650	257	4.03	1.05	NA	0.59	10	6	NA
LabEllis3	N	N	P	N	N	N	N	N	N	N	yes	yes	yes	Lagothrix	lagotricha	Lagothrix_lagotricha	Not	Ecuador	Rainforest	New_World	6299.99	Diurnal	arboreal	2766.7	223.99	2.82	1.01	NA	10.72	NA	33	312.66
